,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
147,0.623495168,0.19194517799374508,0.25348597890016045,0.22271557844695275,0.07512421972771408,0.05062626243159594,0.062875241079655
148,0.655462174,0.189052367802997,0.1612871729193026,0.1751697711239703,0.06492341234629354,0.04383070318867859,0.05437705853030659
149,0.689068165,0.16730514171990518,0.18766602575523136,0.17748558301195064,0.06313346953127634,0.041921520202576765,0.05252749414130894
150,0.72439761,0.1490019286507585,0.1589821230912123,0.15399202656121408,0.056001990398615475,0.039065826017841226,0.04753390751799968
151,0.761538495,0.135384959101772,0.1451495790767609,0.14026726908926646,0.04934943702353484,0.033303167425567895,0.04132630222455136
152,0.800583319,0.12795835182771276,0.11514447629903714,0.12155141343883034,0.03906102245430373,0.025462446588897764,0.032261733897056125
153,0.841629995,0.09708232297495528,0.11887528438194506,0.10797880367845018,0.031150556842974686,0.020219810488099347,0.025685183665537015
154,0.884781025,0.08421551874939903,0.1007898604064209,0.0925026890127984,0.025608476402395726,0.01641962880024467,0.021014052601320193
155,0.930144823,0.06954215558752833,0.08444368560442979,0.07699292005842837,0.01849155806138374,0.011924835494138959,0.01520819624021065
156,0.95765775,0.06724029226516468,0.11212421034550184,0.08968225130533325,0.01565022786063184,0.01012452204349623,0.012887374429956841
157,0.969703181,0.057388652621115824,0.058699829097497824,0.058044240859306824,0.014009657043705211,0.009173517396144337,0.011591587219924775
158,0.990134677,0.05773018391113272,0.08296496416921272,0.07034757454515453,0.012909856908284003,0.009158399569920326,0.011034128239102162
159,1.027968842,0.054949731637877794,0.08554518912159792,0.0702474598933418,0.01391109381503997,0.009825825051611827,0.011868459919721965
160,1.080672263,0.06122367276858664,0.08472648936673967,0.07297508106766315,0.01956389529357246,0.013711957368891959,0.016637925868557245
161,1.136079955,0.06543844618753088,0.07546186306931188,0.07045015506853125,0.024261269533621867,0.016444874251830277,0.02035307189272607
162,1.179492839,0.0713401881026596,0.08250133598310044,0.07692076204288002,0.02535896447269571,0.017180754583623208,0.021269859528159463
163,1.209350547,0.060732652895554524,0.09053155122937237,0.07563210206246344,0.023316886960485245,0.016552050230312584,0.019934469008843964
164,1.25556255,0.05936644733470267,0.08666223677984024,0.07301434245549933,0.022295404557901157,0.015005982776405682,0.01865069406538129
165,1.319937545,0.038900410246304494,0.09557008168897871,0.0672352455888358,0.014599066503559454,0.010389734008210215,0.012494400255884835
166,1.38761137,0.047146704339846975,0.10323931908975349,0.07519301171480024,0.020678790632855656,0.014614333983152648,0.01764656266833559
167,1.45875911,0.048704696692519714,0.08270649223229187,0.06570559480516287,0.019821693521420408,0.013473051078323686,0.016647372299872048
168,1.5145017,0.03522243850898285,0.07859001808977831,0.05690622862952217,0.01734640179010694,0.012438208554008224,0.014892305502199173
169,1.552838646,0.03519812965808941,0.05533046090868606,0.04526429528338773,0.01615221006033617,0.010251388990739995,0.013201799847529038
170,1.592150528,0.03492543451268447,0.05931994955190569,0.04712269203229508,0.013929915928150231,0.00965140904064066,0.011790662170354788
171,1.632457478,0.02635021896723487,0.06043711541012035,0.043393666882390915,0.011596330229190816,0.008095450067214552,0.009845890148202682
172,1.694835344,0.03259910598135367,0.062227195918095043,0.047413150949724356,0.014612601210893795,0.010139157211250605,0.012375878916058292
173,1.781728252,0.032499612067665634,0.04638029952504789,0.03943995551573035,0.016865823935983702,0.01104549808755011,0.013955660731140497
