energy,xsection,Min_Cross_Section,Max_Cross_Section
87001680.0,0.001434867,0.0,0.00416029730624
88229120.0,0.001371208,0.0,0.00407091450112
89473870.0,0.001307321,0.0,0.00398141822087
90000000.0,0.00128052,0.0,0.00394359
90736180.0,0.001255875,0.0,0.0039017856506100004
92016310.0,0.001213313,0.0,0.00382910731993
93314490.0,0.001170531,0.0,0.00375654295247
94630990.0,0.001127537,0.0,0.00368342022259
95966070.0,0.001084338,0.0,0.00362906226814
97319970.0,0.001040943,0.0,0.00358214819911
98692980.0,0.0009973611,0.0,0.00353500357484
100000000.0,0.0009562721,0.0,0.00349051
100085400.0,0.0009543279,0.0,0.0034888061419
101497400.0,0.0009223113,0.0,0.0034606346239
102929300.0,0.0008901174,0.0,0.0034324661347
104381500.0,0.0008577514,0.0,0.0034042756795
105854100.0,0.000825219,0.0,0.0033761387113
107347500.0,0.000792526,0.0,0.00334813860125
108862000.0,0.0007596786,0.0,0.00332012523
110000000.0,0.0007352002,0.0,0.00329926
110397900.0,0.0007287285,0.0,0.00327993618545
111955400.0,0.000703523,0.0,0.0032042969767
113534900.0,0.0006781728,0.0,0.0031284235670999997
115136600.0,0.0006526819,0.0,0.0030520840193
116761000.0,0.0006270546,0.0,0.0029752705504999997
118408300.0,0.0006012951,0.0,0.00289798218185
120000000.0,0.0005766242,0.0,0.00282384
120078800.0,0.0005757176,0.0,0.0028214541724000002
121772900.0,0.0005563121,0.0,0.0027701619067000004
123490900.0,0.0005367892,0.0,0.00271862683595
125233100.0,0.0005171519,0.0,0.0026668155849999997
127000000.0,0.0004974029,0.0,0.0026147145
128791700.0,0.0004775455,0.0,0.0025623206553
130000000.0,0.000464251,0.0,0.00252717
130608700.0,0.0004618773,0.0,0.00251834902395
132451400.0,0.0004547221,0.0,0.0024917281430999996
134320000.0,0.0004475123,0.0,0.0024650480799999997
136215000.0,0.0004402484,0.0,0.0024383052025000003
138136800.0,0.0004329312,0.0,0.0024114861340000003
140000000.0,0.000425884,0.0,0.00238576
140085600.0,0.0004254987,0.0,0.0023858171379999996
142062000.0,0.000416638,0.0,0.002387142523
144066200.0,0.0004077141,0.0,0.0023886850644
146098800.0,0.0003987279,0.0,0.0023904463046000002
148159900.0,0.0003896803,0.0,0.00239242801555
