Incident energy;xsec
8.76063E+03;9.25561E-05
8.79596E+03;9.29294E-05
8.83130E+03;9.33027E-05
8.86663E+03;9.36760E-05
8.90196E+03;9.40493E-05
8.91963E+03;9.42359E-05
8.93730E+03;9.44226E-05
8.95386E+03;9.45976E-05
8.97042E+03;9.47725E-05
8.98699E+03;9.49475E-05
9.00355E+03;9.51225E-05
9.01183E+03;9.52100E-05
9.02011E+03;9.52975E-05
9.03667E+03;9.54725E-05
9.04496E+03;9.55600E-05
9.05324E+03;9.56475E-05
9.06152E+03;9.57350E-05
9.06980E+03;9.58224E-05
9.08194E+03;9.59508E-05
9.09409E+03;9.60791E-05
9.10624E+03;9.62074E-05
9.11838E+03;9.63357E-05
9.13053E+03;9.64641E-05
9.14267E+03;9.65924E-05
9.15482E+03;9.67207E-05
9.16697E+03;9.68490E-05
9.17856E+03;9.69715E-05
9.18436E+03;9.70328E-05
9.19015E+03;9.70940E-05
9.19595E+03;9.71552E-05
9.20175E+03;9.72165E-05
9.20755E+03;9.72777E-05
9.21334E+03;9.73390E-05
9.21914E+03;9.74002E-05
9.22494E+03;9.74615E-05
9.23073E+03;9.75227E-05
9.23653E+03;9.75840E-05
9.24233E+03;9.76452E-05
9.24812E+03;9.77065E-05
9.25392E+03;9.77677E-05
9.25972E+03;9.78289E-05
9.26579E+03;9.78931E-05
9.27186E+03;9.79573E-05
9.27794E+03;9.80214E-05
9.28401E+03;9.80856E-05
9.29008E+03;9.81497E-05
9.29616E+03;9.82139E-05
9.30223E+03;9.82781E-05
9.30830E+03;9.83422E-05
9.31437E+03;9.84064E-05
9.31741E+03;9.84385E-05
9.32045E+03;9.84705E-05
9.32348E+03;9.85026E-05
9.32652E+03;9.85347E-05
9.32956E+03;9.85668E-05
9.33259E+03;9.85989E-05
9.33563E+03;9.86309E-05
9.33867E+03;9.86630E-05
9.34170E+03;9.86951E-05
9.34474E+03;9.87272E-05
9.34778E+03;9.87593E-05
9.35081E+03;9.87913E-05
9.35385E+03;9.88234E-05
9.35688E+03;9.88555E-05
9.36083E+03;9.88972E-05
9.36477E+03;9.89389E-05
9.36872E+03;9.89805E-05
9.37266E+03;9.90222E-05
9.37661E+03;9.90639E-05
9.38055E+03;9.91055E-05
9.38450E+03;9.91472E-05
9.38844E+03;9.91889E-05
9.39128E+03;9.92189E-05
9.39412E+03;9.92489E-05
9.39695E+03;9.92788E-05
9.39979E+03;9.93088E-05
9.41114E+03;9.94287E-05
9.41682E+03;9.94887E-05
9.41966E+03;9.95187E-05
9.42249E+03;9.95487E-05
9.42533E+03;9.95786E-05
9.42817E+03;9.96086E-05
9.43101E+03;9.96386E-05
9.43384E+03;9.96686E-05
9.43698E+03;9.97017E-05
9.44012E+03;9.97349E-05
9.44326E+03;9.97681E-05
9.44640E+03;9.98012E-05
9.44954E+03;9.98344E-05
9.45268E+03;9.98676E-05
9.45896E+03;9.99339E-05
9.46523E+03;1.00000E-04
9.47151E+03;1.00067E-04
9.47779E+03;1.00133E-04
9.48407E+03;1.00199E-04
9.49006E+03;1.00263E-04
9.49605E+03;1.00326E-04
9.50205E+03;1.00389E-04
9.50804E+03;1.00453E-04
9.51403E+03;1.00516E-04
9.52002E+03;1.00579E-04
9.52602E+03;1.00642E-04
9.53201E+03;1.00706E-04
9.54399E+03;1.00832E-04
9.55598E+03;1.00959E-04
9.56796E+03;1.01086E-04
9.57995E+03;1.01212E-04
9.59022E+03;1.01321E-04
9.60050E+03;1.01429E-04
9.61077E+03;1.01538E-04
9.62104E+03;1.01646E-04
9.63131E+03;1.01755E-04
9.64159E+03;1.01863E-04
9.65186E+03;1.01972E-04
9.66213E+03;1.02081E-04
9.68268E+03;1.02298E-04
9.70323E+03;1.02515E-04
9.72377E+03;1.02732E-04
9.74432E+03;1.02949E-04
9.76030E+03;1.03118E-04
9.77628E+03;1.03286E-04
9.80824E+03;1.03624E-04
9.84020E+03;1.03962E-04
9.85618E+03;1.04131E-04
9.87216E+03;1.04299E-04
9.88814E+03;1.04468E-04
9.90412E+03;1.04637E-04
9.93608E+03;1.04975E-04
9.96804E+03;1.05312E-04
1.00000E+04;1.05650E-04
1.00383E+04;1.06054E-04
1.00765E+04;1.06458E-04
1.01147E+04;1.06862E-04
1.01530E+04;1.07266E-04
1.01912E+04;1.07670E-04
1.02295E+04;1.08074E-04
1.02677E+04;1.08478E-04
1.02868E+04;1.08680E-04
1.03060E+04;1.08882E-04
1.03169E+04;1.08998E-04
1.03223E+04;1.09056E-04
1.03251E+04;1.09084E-04
1.03278E+04;1.09113E-04
1.03305E+04;1.09142E-04
1.03319E+04;1.09157E-04
1.03333E+04;1.09171E-04
1.03339E+04;1.09178E-04
1.03345E+04;1.09184E-04
1.03351E+04;1.09191E-04
1.03354E+04;1.09194E-04
1.03358E+04;1.09197E-04
1.03361E+04;1.09201E-04
1.03364E+04;1.09204E-04
1.03367E+04;1.09207E-04
1.03370E+04;1.09210E-04
1.03373E+04;1.09214E-04
1.03376E+04;1.09217E-04
1.03379E+04;1.09220E-04
1.03382E+04;1.09223E-04
1.03385E+04;1.09227E-04
1.03388E+04;1.09230E-04
1.03392E+04;1.09233E-04
1.03395E+04;1.09236E-04
1.03398E+04;1.09240E-04
1.03401E+04;1.09243E-04
1.03404E+04;1.09246E-04
1.03407E+04;1.09250E-04
1.03410E+04;1.09253E-04
1.03413E+04;1.09256E-04
1.03416E+04;1.09259E-04
1.03419E+04;1.09263E-04
1.03423E+04;1.09266E-04
1.03426E+04;1.09269E-04
1.03429E+04;1.09272E-04
1.03432E+04;1.09276E-04
1.03436E+04;1.09280E-04
1.03440E+04;1.09284E-04
1.03444E+04;1.09289E-04
1.03448E+04;1.09293E-04
1.03456E+04;1.09301E-04
1.03464E+04;1.09310E-04
1.03472E+04;1.09319E-04
1.03480E+04;1.09327E-04
1.03485E+04;1.09332E-04
1.03489E+04;1.09336E-04
1.03493E+04;1.09341E-04
1.03496E+04;1.09343E-04
1.03497E+04;1.09345E-04
1.03498E+04;1.09345E-04
1.03498E+04;1.09346E-04
1.03499E+04;1.09347E-04
1.03501E+04;1.09349E-04
1.03504E+04;1.09352E-04
1.03509E+04;1.09357E-04
1.03514E+04;1.09363E-04
1.03519E+04;1.09368E-04
1.03526E+04;1.09375E-04
1.03533E+04;1.09382E-04
1.03540E+04;1.09390E-04
1.03544E+04;1.09394E-04
1.03551E+04;1.09401E-04
1.03557E+04;1.09408E-04
1.03561E+04;1.09412E-04
1.03564E+04;1.09415E-04
1.03567E+04;1.09419E-04
1.03570E+04;1.09422E-04
1.03574E+04;1.09426E-04
1.03577E+04;1.09429E-04
1.03580E+04;1.09433E-04
1.03584E+04;1.09436E-04
1.03587E+04;1.09440E-04
1.03590E+04;1.09443E-04
1.03594E+04;1.09447E-04
1.03597E+04;1.09450E-04
1.03600E+04;1.09453E-04
1.03603E+04;1.09456E-04
1.03605E+04;1.09459E-04
1.03608E+04;1.09462E-04
