Incident energy [eV];Computed function [b]
1.435093E+05;1.861073E-08
1.435363E+05;1.872186E-08
1.435634E+05;1.883341E-08
1.435904E+05;1.894454E-08
1.436224E+05;1.907625E-08
1.436544E+05;1.920796E-08
1.436864E+05;1.933967E-08
1.437183E+05;1.947096E-08
1.437503E+05;1.960268E-08
1.437663E+05;1.966853E-08
1.437822E+05;1.973398E-08
1.437982E+05;1.979983E-08
1.438142E+05;1.986569E-08
1.438302E+05;1.993154E-08
1.438461E+05;1.999698E-08
1.438646E+05;2.007313E-08
1.438830E+05;2.014887E-08
1.439015E+05;2.022501E-08
1.439199E+05;2.030074E-08
1.439384E+05;2.037689E-08
1.439476E+05;2.041475E-08
1.439568E+05;2.045262E-08
1.439660E+05;2.049049E-08
1.439752E+05;2.052835E-08
1.439844E+05;2.056622E-08
1.439936E+05;2.060409E-08
1.440082E+05;2.066418E-08
1.440227E+05;2.072386E-08
1.440373E+05;2.078395E-08
1.440518E+05;2.084364E-08
1.440664E+05;2.090373E-08
1.440809E+05;2.096341E-08
1.440955E+05;2.102350E-08
1.441028E+05;2.105355E-08
1.441100E+05;2.108319E-08
1.441177E+05;2.111488E-08
1.441254E+05;2.114657E-08
1.441331E+05;2.117826E-08
1.441408E+05;2.120996E-08
1.441562E+05;2.127334E-08
1.441716E+05;2.133673E-08
1.441870E+05;2.140011E-08
1.442024E+05;2.146350E-08
1.442178E+05;2.152689E-08
1.442332E+05;2.159027E-08
1.442434E+05;2.163225E-08
1.442536E+05;2.167424E-08
1.442638E+05;2.171622E-08
1.442739E+05;2.175779E-08
1.442841E+05;2.179977E-08
1.442942E+05;2.184135E-08
1.443044E+05;2.188333E-08
1.443145E+05;2.192490E-08
1.443348E+05;2.200845E-08
1.443551E+05;2.209201E-08
1.443754E+05;2.217556E-08
1.443957E+05;2.225911E-08
1.444127E+05;2.232908E-08
1.444296E+05;2.239864E-08
1.444465E+05;2.246820E-08
1.444634E+05;2.253776E-08
1.444804E+05;2.260774E-08
1.444973E+05;2.267730E-08
1.445142E+05;2.274685E-08
1.445311E+05;2.281641E-08
1.445650E+05;2.295595E-08
1.445988E+05;2.309507E-08
1.446327E+05;2.323459E-08
1.446665E+05;2.337372E-08
1.447004E+05;2.351324E-08
1.447342E+05;2.365236E-08
1.447681E+05;2.379190E-08
1.448019E+05;2.393101E-08
1.448358E+05;2.407055E-08
1.448696E+05;2.420967E-08
1.449035E+05;2.434920E-08
1.449373E+05;2.448831E-08
1.450050E+05;2.476696E-08
1.450727E+05;2.504562E-08
1.451404E+05;2.532427E-08
1.452081E+05;2.560292E-08
1.452804E+05;2.590050E-08
1.453526E+05;2.619767E-08
1.454248E+05;2.649485E-08
1.454970E+05;2.679202E-08
1.455693E+05;2.708960E-08
1.456415E+05;2.738677E-08
1.457859E+05;2.798112E-08
1.459304E+05;2.857587E-08
1.460748E+05;2.917022E-08
1.462192E+05;2.976456E-08
1.463636E+05;3.035891E-08
1.465080E+05;3.095325E-08
1.467247E+05;3.184517E-08
1.469414E+05;3.273710E-08
1.471581E+05;3.362903E-08
